_date,_patients,_facility,_hour,_temp,_aqi,_rain,_holiday,_revisit,_lagged,_doctors,_counters,_beds_occ
2023-01-01,53,General Medicine,,4,137,6,0,16,53.0,5,,
2023-01-01,46,Dental,,4,137,6,0,14,53.0,4,,
2023-01-01,33,ENT,,4,137,6,0,10,46.0,3,,
2023-01-01,36,Orthopaedic,,4,137,6,0,10,33.0,3,,
2023-01-02,25,General Medicine,,6,64,4,0,7,36.0,5,,
2023-01-02,21,Dental,,6,64,4,0,6,25.0,4,,
2023-01-02,20,ENT,,6,64,4,0,7,21.0,3,,
2023-01-02,21,Orthopaedic,,6,64,4,0,7,20.0,3,,
2023-01-03,34,Orthopaedic,,-9,65,1,0,10,21.0,3,,
2023-01-03,31,ENT,,-9,65,1,0,10,34.0,3,,
2023-01-03,54,General Medicine,,-9,65,1,0,18,31.0,5,,
2023-01-03,51,Dental,,-9,65,1,0,19,54.0,4,,
2023-01-04,52,General Medicine,,1,106,0,0,16,51.0,5,,
2023-01-04,46,Dental,,1,106,0,0,15,52.0,4,,
2023-01-04,30,ENT,,1,106,0,0,9,46.0,3,,
2023-01-04,38,Orthopaedic,,1,106,0,0,12,30.0,3,,
2023-01-05,31,Orthopaedic,,9,89,7,0,9,38.0,3,,
2023-01-05,30,ENT,,9,89,7,0,10,31.0,3,,
2023-01-05,55,General Medicine,,9,89,7,0,20,30.0,5,,
2023-01-05,48,Dental,,9,89,7,0,17,55.0,4,,
2023-01-06,34,General Medicine,,7,72,2,1,11,48.0,5,,
2023-01-06,27,Dental,,7,72,2,1,8,34.0,4,,
2023-01-06,20,ENT,,7,72,2,1,6,27.0,3,,
2023-01-06,25,Orthopaedic,,7,72,2,1,8,20.0,3,,
2023-01-07,39,General Medicine,,-5,103,1,0,11,25.0,5,,
2023-01-07,37,Dental,,-5,103,1,0,12,39.0,4,,
2023-01-07,26,ENT,,-5,103,1,0,8,37.0,3,,
2023-01-07,32,Orthopaedic,,-5,103,1,0,11,26.0,3,,
2023-01-08,36,Orthopaedic,,5,65,4,0,12,32.0,3,,
2023-01-08,54,General Medicine,,5,65,4,0,19,36.0,5,,
2023-01-08,42,Dental,,5,65,4,0,14,54.0,4,,
2023-01-08,28,ENT,,5,65,4,0,9,42.0,3,,
2023-01-09,21,Orthopaedic,,4,112,5,0,7,28.0,3,,
2023-01-09,18,ENT,,4,112,5,0,6,21.0,3,,
2023-01-09,32,General Medicine,,4,112,5,0,11,18.0,5,,
2023-01-09,25,Dental,,4,112,5,0,8,32.0,4,,
2023-01-10,48,General Medicine,,-3,86,0,0,15,25.0,5,,
2023-01-10,44,Dental,,-3,86,0,0,15,48.0,4,,
2023-01-10,32,ENT,,-3,86,0,0,11,44.0,3,,
2023-01-10,36,Orthopaedic,,-3,86,0,0,12,32.0,3,,
2023-01-11,43,General Medicine,,5,96,1,0,13,36.0,5,,
2023-01-11,46,Dental,,5,96,1,0,17,43.0,4,,
2023-01-11,32,ENT,,5,96,1,0,11,46.0,3,,
2023-01-11,36,Orthopaedic,,5,96,1,0,12,32.0,3,,
2023-01-12,46,General Medicine,,6,127,0,0,14,36.0,5,,
2023-01-12,41,Dental,,6,127,0,0,13,46.0,4,,
